trial_id,execution_status,metrics_status,execution_succeeded,objective_eligible,runtime_seconds,exit_code,timed_out,param.learning_rate,param.hidden_size,param.epochs,param.batch_size,error_message
0,process_failed,missing,False,False,0.02553260000422597,2,False,0.07741820925074075,85,47,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
1,process_failed,missing,False,False,0.023534900043159723,2,False,0.06976706610303046,111,24,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
2,process_failed,missing,False,False,0.020957699976861477,2,False,0.09756467292851193,95,78,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
3,process_failed,missing,False,False,0.02044319990091026,2,False,0.012898551904287032,102,85,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
4,process_failed,missing,False,False,0.021019400097429752,2,False,0.03714272262083487,26,93,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
5,process_failed,missing,False,False,0.018829800188541412,2,False,0.08229388516575592,84,57,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
6,process_failed,missing,False,False,0.018850799882784486,2,False,0.022801148306299212,15,58,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
7,process_failed,missing,False,False,0.018416300183162093,2,False,0.08278035408205896,11,31,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
8,process_failed,missing,False,False,0.018867200007662177,2,False,0.07583296523452886,91,39,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
9,process_failed,missing,False,False,0.017966700019314885,2,False,0.08932280002008755,125,70,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
10,process_failed,missing,False,False,0.017999100033193827,2,False,0.01954440691441156,49,49,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
11,process_failed,missing,False,False,0.01840060018002987,2,False,0.015513520257548027,9,76,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
12,process_failed,missing,False,False,0.0184470999520272,2,False,0.07450173937519093,49,97,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
13,process_failed,missing,False,False,0.01824249979108572,2,False,0.03710892463288341,44,12,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
14,process_failed,missing,False,False,0.02191859995946288,2,False,0.01902818877252014,61,17,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
15,process_failed,missing,False,False,0.01830690004862845,2,False,0.022768243970183323,63,59,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
16,process_failed,missing,False,False,0.017919600009918213,2,False,0.04377147669534585,24,84,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
17,process_failed,missing,False,False,0.019127900013700128,2,False,0.0313054274740659,91,78,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
18,process_failed,missing,False,False,0.01860609999857843,2,False,0.08049595931393051,109,42,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
19,process_failed,missing,False,False,0.018006500089541078,2,False,0.06828130084710006,40,66,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
